,hypergraph,one
0,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 4, 5, 6, 7], [1, 2, 4, 7, 8], [1, 2, 3]]",1
1,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 4, 5, 6, 7], [1, 2, 5, 6, 7], [4, 5, 6]]",1
2,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 4, 5, 6, 7], [1, 2, 7], [2, 3, 7]]",1
3,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 4, 5, 6], [2, 4, 7, 8], [1, 5, 6]]",1
4,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 4, 5, 7, 8], [1, 2, 3, 4, 5], [2, 7, 8]]",1
5,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 4, 5, 7, 8], [2, 3, 5, 6, 8], [2, 3, 6]]",1
6,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 4, 5, 7, 8], [2, 3, 5, 6, 8], [4, 5, 7]]",1
7,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 4, 5, 7], [2, 4, 5, 7], [1, 3]]",1
8,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 4, 5, 8], [1, 2, 8], [3, 4, 5]]",1
9,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 4, 5, 8], [2, 5, 6, 7], [2, 6, 7]]",1
10,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 4, 5], [1, 4, 6], [1, 3, 8]]",1
11,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 4, 6, 7, 8], [2, 3, 5, 6, 8], [2, 3, 6]]",1
12,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 4, 6, 7], [1, 2, 4, 7], [2, 5, 7]]",1
13,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 4, 6, 7], [1, 3, 4], [5, 8]]",1
14,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 4, 6, 8], [1, 2, 6], [2, 7]]",1
15,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 4, 6, 8], [2, 3, 5, 6], [2, 5]]",1
16,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 4, 6], [1, 4, 6], [1, 7]]",1
17,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 4, 7, 8], [1, 5, 6], [1, 5]]",1
18,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 4, 7, 8], [4, 6, 7], [1, 3, 8]]",1
