,hypergraph,numVertices,numEdges,sizeOfEdges,alpha,beta,lineGraphChordal,lineGraphRegular,lineGraphComplete,dualGraph,dualAlpha,dualBeta,dualLineChordal,dualLineRegular,dualLineComplete
0,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [2, 3, 5, 6, 7, 8], ""e2"": [1, 2, 3, 7, 8], ""e3"": [6, 7, 8], ""e4"": [2, 3], ""e5"": [5, 8]}",8,6,"[8, 6, 5, 3, 2, 2]",True,True,True,False,False,"{""1"": [""e0"", ""e2""], ""2"": [""e0"", ""e1"", ""e2"", ""e4""], ""3"": [""e0"", ""e1"", ""e2"", ""e4""], ""4"": [""e0""], ""5"": [""e0"", ""e1"", ""e5""], ""6"": [""e0"", ""e1"", ""e3""], ""7"": [""e0"", ""e1"", ""e2"", ""e3""], ""8"": []}",True,True,True,True,True
1,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 4, 5, 6, 8], ""e2"": [1, 4, 6, 7, 8], ""e3"": [1, 5, 6], ""e4"": [3, 7], ""e5"": [4, 6]}",8,6,"[8, 6, 5, 3, 2, 2]",True,True,True,False,False,"{""1"": [""e0"", ""e1"", ""e2"", ""e3""], ""2"": [""e0"", ""e1""], ""3"": [""e0"", ""e4""], ""4"": [""e0"", ""e1"", ""e2"", ""e5""], ""5"": [""e0"", ""e1"", ""e3""], ""6"": [""e0"", ""e2""], ""7"": [""e0"", ""e2""], ""8"": [""e0"", ""e1"", ""e2""]}",True,True,True,True,True
2,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 4, 5, 6, 7, 8], ""e2"": [1, 3, 4, 5, 8], ""e3"": [3, 5, 7], ""e4"": [2, 8], ""e5"": [1, 6]}",8,6,"[8, 6, 5, 3, 2, 2]",True,False,True,False,False,"{""1"": [""e0"", ""e1"", ""e2""], ""2"": [""e0"", ""e4""], ""3"": [""e0"", ""e2"", ""e3""], ""4"": [""e0"", ""e1"", ""e2""], ""5"": [""e0"", ""e1"", ""e2""], ""6"": [""e0"", ""e1"", ""e5""], ""7"": [""e0"", ""e1"", ""e3""], ""8"": [""e0"", ""e1"", ""e2""]}",True,True,True,True,True
3,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 7], ""e2"": [1, 2, 5, 6, 8], ""e3"": [2, 3, 6], ""e4"": [3, 7], ""e5"": [4, 8]}",8,6,"[8, 6, 5, 3, 2, 2]",True,False,True,False,False,"{""1"": [""e0"", ""e1"", ""e2""], ""2"": [""e0"", ""e1"", ""e2""], ""3"": [""e0"", ""e1"", ""e3""], ""4"": [""e0"", ""e1"", ""e5""], ""5"": [""e0"", ""e1"", ""e2""], ""6"": [""e0"", ""e2"", ""e3""], ""7"": [""e0"", ""e1"", ""e4""], ""8"": [""e0"", ""e2"", ""e5""]}",False,False,True,True,True
4,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [2, 3, 4, 5, 6, 8], ""e2"": [2, 3, 6, 7, 8], ""e3"": [1, 2, 4], ""e4"": [5, 8], ""e5"": [6, 7]}",8,6,"[8, 6, 5, 3, 2, 2]",True,True,True,False,False,"{""1"": [""e0"", ""e3""], ""2"": [""e0"", ""e1"", ""e2""], ""3"": [""e0"", ""e1"", ""e2""], ""4"": [""e0"", ""e1"", ""e3""], ""5"": [""e0"", ""e1"", ""e4""], ""6"": [""e0"", ""e1"", ""e2""], ""7"": [""e0"", ""e2"", ""e5""], ""8"": [""e0"", ""e1"", ""e2""]}",True,True,True,True,True
5,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 4, 5, 6, 7, 8], ""e2"": [2, 3, 6, 7, 8], ""e3"": [3, 4, 8], ""e4"": [2, 4], ""e5"": [1, 4]}",8,6,"[8, 6, 5, 3, 2, 2]",True,False,True,False,False,"{""1"": [""e0"", ""e1"", ""e5""], ""2"": [""e0"", ""e2"", ""e4""], ""3"": [""e0"", ""e2"", ""e3""], ""4"": [""e0"", ""e1"", ""e3"", ""e4""], ""5"": [""e0"", ""e1""], ""6"": [""e0"", ""e1"", ""e2""], ""7"": [""e0"", ""e1"", ""e2""], ""8"": [""e0"", ""e1"", ""e2"", ""e3""]}",False,False,True,True,True
6,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [3, 4, 5, 6, 7, 8], ""e2"": [1, 2, 6, 7, 8], ""e3"": [2, 5, 8], ""e4"": [1, 5], ""e5"": [1, 3]}",8,6,"[8, 6, 5, 3, 2, 2]",True,False,True,False,False,"{""1"": [""e0"", ""e2"", ""e4"", ""e5""], ""2"": [""e0"", ""e2"", ""e3""], ""3"": [""e0"", ""e1"", ""e5""], ""4"": [""e0"", ""e1""], ""5"": [""e0"", ""e1"", ""e3"", ""e4""], ""6"": [""e0"", ""e1"", ""e2""], ""7"": [""e0"", ""e1"", ""e2""], ""8"": [""e0"", ""e1"", ""e2"", ""e3""]}",False,False,True,True,True
7,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 6, 7], ""e2"": [2, 3, 4, 6, 7], ""e3"": [1, 4, 6], ""e4"": [1, 5], ""e5"": [1, 8]}",8,6,"[8, 6, 5, 3, 2, 2]",True,True,True,False,False,"{""1"": [], ""2"": [""e0"", ""e1"", ""e2""], ""3"": [""e0"", ""e1"", ""e2""], ""4"": [""e0"", ""e1"", ""e2"", ""e3""], ""5"": [""e0"", ""e4""], ""6"": [""e0"", ""e1"", ""e2"", ""e3""], ""7"": [""e0"", ""e1"", ""e2""], ""8"": [""e0"", ""e5""]}",True,True,True,True,True
8,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [2, 3, 4, 5, 6, 8], ""e2"": [1, 2, 3, 5, 8], ""e3"": [1, 4, 8], ""e4"": [2, 4], ""e5"": [3, 4]}",8,6,"[8, 6, 5, 3, 2, 2]",True,False,True,True,True,"{""1"": [""e0"", ""e2"", ""e3""], ""2"": [""e0"", ""e1"", ""e2"", ""e4""], ""3"": [""e0"", ""e1"", ""e2"", ""e5""], ""4"": [""e0"", ""e1"", ""e3"", ""e4"", ""e5""], ""5"": [""e0"", ""e1"", ""e2""], ""6"": [""e0"", ""e1""], ""7"": [""e0""], ""8"": [""e0"", ""e1"", ""e2"", ""e3""]}",False,False,True,True,True
9,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 6, 7, 8], ""e2"": [1, 3, 4, 7, 8], ""e3"": [1, 2, 8], ""e4"": [6, 7], ""e5"": [4, 5]}",8,6,"[8, 6, 5, 3, 2, 2]",True,True,True,False,False,"{""1"": [""e0"", ""e1"", ""e2"", ""e3""], ""2"": [""e0"", ""e1"", ""e3""], ""3"": [""e0"", ""e1"", ""e2""], ""4"": [""e0"", ""e2""], ""5"": [""e0"", ""e5""], ""6"": [""e0"", ""e1"", ""e4""], ""7"": [""e0"", ""e2""], ""8"": [""e0"", ""e1"", ""e2"", ""e3""]}",True,True,True,True,True
