,hypergraph,numVertices,numEdges,sizeOfEdges,alpha,beta,lineGraphChordal,lineGraphRegular,lineGraphComplete,dualGraph,dualAlpha,dualBeta,dualLineChordal,dualLineRegular,dualLineComplete
0,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 7, 8], ""e2"": [1, 2, 3, 4, 5], ""e3"": [2, 7, 8]}",8,4,"[8, 7, 5, 3]",True,True,True,True,True,"{""1"": [""e0"", ""e1"", ""e2""], ""2"": [], ""3"": [""e0"", ""e1"", ""e2""], ""4"": [""e0"", ""e1"", ""e2""], ""5"": [""e0"", ""e1"", ""e2""], ""6"": [""e0""], ""7"": [""e0"", ""e1"", ""e3""], ""8"": [""e0"", ""e1"", ""e3""]}",True,True,True,True,True
1,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 6, 7], ""e2"": [1, 2, 5, 6, 7], ""e3"": [4, 5, 6]}",8,4,"[8, 7, 5, 3]",True,True,True,True,True,"{""1"": [""e0"", ""e1"", ""e2""], ""2"": [""e0"", ""e1"", ""e2""], ""3"": [""e0"", ""e1""], ""4"": [""e0"", ""e1"", ""e3""], ""5"": [""e0"", ""e1"", ""e2"", ""e3""], ""6"": [""e0"", ""e1"", ""e2"", ""e3""], ""7"": [""e0"", ""e1"", ""e2""], ""8"": [""e0""]}",True,True,True,True,True
2,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 6, 7], ""e2"": [3, 4, 6, 7, 8], ""e3"": [5, 7, 8]}",8,4,"[8, 7, 5, 3]",True,False,True,True,True,"{""1"": [""e0"", ""e1""], ""2"": [""e0"", ""e1""], ""3"": [""e0"", ""e1"", ""e2""], ""4"": [""e0"", ""e1"", ""e2""], ""5"": [""e0"", ""e1"", ""e3""], ""6"": [""e0"", ""e1"", ""e2""], ""7"": [], ""8"": [""e0"", ""e2"", ""e3""]}",True,True,True,True,True
3,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 6, 7], ""e2"": [1, 2, 4, 7, 8], ""e3"": [1, 2, 3]}",8,4,"[8, 7, 5, 3]",True,True,True,True,True,"{""1"": [""e0"", ""e1"", ""e2"", ""e3""], ""2"": [""e0"", ""e1"", ""e2"", ""e3""], ""3"": [""e0"", ""e1"", ""e3""], ""4"": [""e0"", ""e1"", ""e2""], ""5"": [""e0"", ""e1""], ""6"": [""e0"", ""e1""], ""7"": [""e0"", ""e1"", ""e2""], ""8"": [""e0"", ""e2""]}",True,True,True,True,True
4,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 7, 8], ""e2"": [2, 3, 5, 6, 8], ""e3"": [4, 5, 7]}",8,4,"[8, 7, 5, 3]",True,True,True,True,True,"{""1"": [""e0"", ""e1""], ""2"": [""e0"", ""e1"", ""e2""], ""3"": [""e0"", ""e1"", ""e2""], ""4"": [""e0"", ""e1"", ""e3""], ""5"": [], ""6"": [""e0"", ""e2""], ""7"": [""e0"", ""e1"", ""e3""], ""8"": [""e0"", ""e1"", ""e2""]}",True,True,True,True,True
5,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 6, 7, 8], ""e2"": [2, 3, 5, 6, 8], ""e3"": [2, 3, 6]}",8,4,"[8, 7, 5, 3]",True,True,True,True,True,"{""1"": [""e0"", ""e1""], ""2"": [""e0"", ""e1"", ""e2"", ""e3""], ""3"": [""e0"", ""e1"", ""e2"", ""e3""], ""4"": [""e0"", ""e1""], ""5"": [""e0"", ""e2""], ""6"": [""e0"", ""e1"", ""e2"", ""e3""], ""7"": [""e0"", ""e1""], ""8"": [""e0"", ""e1"", ""e2""]}",True,True,True,True,True
6,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 6, 7], ""e2"": [3, 4, 6, 7, 8], ""e3"": [1, 2, 8]}",8,4,"[8, 7, 5, 3]",True,False,True,True,True,"{""1"": [""e0"", ""e1"", ""e3""], ""2"": [""e0"", ""e1"", ""e3""], ""3"": [""e0"", ""e1"", ""e2""], ""4"": [""e0"", ""e1"", ""e2""], ""5"": [""e0"", ""e1""], ""6"": [""e0"", ""e1"", ""e2""], ""7"": [""e0"", ""e1"", ""e2""], ""8"": []}",True,False,True,True,True
7,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 7, 8], ""e2"": [2, 3, 5, 6, 8], ""e3"": [2, 3, 6]}",8,4,"[8, 7, 5, 3]",True,True,True,True,True,"{""1"": [""e0"", ""e1""], ""2"": [""e0"", ""e1"", ""e2"", ""e3""], ""3"": [""e0"", ""e1"", ""e2"", ""e3""], ""4"": [""e0"", ""e1""], ""5"": [""e0"", ""e1"", ""e2""], ""6"": [""e0"", ""e2"", ""e3""], ""7"": [""e0"", ""e1""], ""8"": [""e0"", ""e1"", ""e2""]}",True,True,True,True,True
8,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [2, 3, 4, 5, 6, 7, 8], ""e2"": [2, 3, 4, 5, 8], ""e3"": [1, 2, 7]}",8,4,"[8, 7, 5, 3]",True,True,True,True,True,"{""1"": [""e0"", ""e3""], ""2"": [], ""3"": [""e0"", ""e1"", ""e2""], ""4"": [""e0"", ""e1"", ""e2""], ""5"": [""e0"", ""e1"", ""e2""], ""6"": [""e0"", ""e1""], ""7"": [""e0"", ""e1"", ""e3""], ""8"": [""e0"", ""e1"", ""e2""]}",True,True,True,True,True
9,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 3, 4, 5, 6, 7, 8], ""e2"": [1, 3, 5, 6, 7], ""e3"": [2, 3, 7]}",8,4,"[8, 7, 5, 3]",True,True,True,True,True,"{""1"": [""e0"", ""e1"", ""e2""], ""2"": [""e0"", ""e3""], ""3"": [""e0"", ""e1"", ""e2"", ""e3""], ""4"": [""e0"", ""e1""], ""5"": [""e0"", ""e1"", ""e2""], ""6"": [""e0"", ""e1"", ""e2""], ""7"": [""e0"", ""e1"", ""e2"", ""e3""], ""8"": [""e0"", ""e1""]}",True,True,True,True,True
