,hypergraph,two_neo,three_neo
0,"{'e0': [1, 10, 11, 12, 2, 3, 4, 5, 6, 7], 'e1': [1, 10, 11, 12, 4, 7, 8, 9], 'e2': [10, 11, 12, 2, 4], 'e3': [11, 2, 5, 7]}",True,True
1,"{'e0': [1, 10, 11, 12, 2, 3, 4, 5, 6, 7], 'e1': [11, 12, 3, 5, 6, 7, 8, 9], 'e2': [1, 12, 2, 4, 7], 'e3': [11, 12, 2, 3]}",True,True
2,"{'e0': [1, 10, 11, 12, 2, 3, 4, 6, 7, 9], 'e1': [10, 11, 3, 4, 5, 6, 8, 9], 'e2': [1, 10, 12, 4, 9], 'e3': [10, 11, 4, 7]}",True,True
3,"{'e0': [1, 10, 11, 12, 2, 3, 4, 6, 7, 9], 'e1': [11, 12, 2, 3, 4, 5, 6, 8], 'e2': [1, 12, 2, 4, 7], 'e3': [10, 11, 3, 6]}",True,True
4,"{'e0': [1, 10, 11, 12, 3, 4, 5, 6, 7, 9], 'e1': [10, 12, 2, 4, 5, 6, 7, 8], 'e2': [10, 11, 4, 7, 9], 'e3': [11, 12, 6, 7]}",False,True
5,"{'e0': [1, 10, 11, 12, 3, 4, 5, 6, 8, 9], 'e1': [10, 12, 3, 4, 6, 7, 8, 9], 'e2': [1, 12, 2, 4, 9], 'e3': [10, 3, 6, 9]}",True,True
6,"{'e0': [1, 10, 11, 12, 3, 4, 6, 7, 8, 9], 'e1': [10, 11, 12, 2, 3, 4, 5, 9], 'e2': [1, 10, 6, 7, 8], 'e3': [1, 10, 12, 7]}",True,True
7,"{'e0': [1, 10, 11, 12, 4, 5, 6, 7, 8, 9], 'e1': [11, 12, 2, 4, 6, 7, 8, 9], 'e2': [11, 2, 3, 7, 9], 'e3': [11, 3, 7, 9]}",True,True
8,"{'e0': [1, 10, 12, 2, 3, 4, 5, 7, 8, 9], 'e1': [1, 10, 11, 2, 3, 4, 6, 7], 'e2': [1, 2, 3, 4, 6], 'e3': [10, 2, 6, 7]}",False,True
9,"{'e0': [1, 10, 12, 2, 3, 4, 5, 7, 8, 9], 'e1': [1, 10, 2, 3, 5, 6, 7, 9], 'e2': [11, 2, 4, 8, 9], 'e3': [12, 3, 4, 8]}",False,True
10,"{'e0': [1, 10, 12, 2, 4, 5, 6, 7, 8, 9], 'e1': [11, 2, 3, 5, 6, 7, 8, 9], 'e2': [2, 3, 5, 6, 9], 'e3': [12, 4, 6, 7]}",True,True
11,"{'e0': [1, 10, 12, 3, 4, 5, 6, 7, 8, 9], 'e1': [1, 10, 12, 3, 4, 5, 7, 8], 'e2': [1, 10, 2, 3, 9], 'e3': [11, 3, 5, 8]}",True,True
12,"{'e0': [1, 10, 2, 3, 4, 5, 6, 7, 8, 9], 'e1': [10, 11, 12, 4, 5, 7, 8, 9], 'e2': [10, 3, 6, 8, 9], 'e3': [10, 4, 7, 9]}",True,True
13,"{'e0': [1, 11, 12, 2, 3, 4, 5, 6, 8, 9], 'e1': [1, 10, 11, 12, 3, 4, 6, 9], 'e2': [11, 2, 3, 5, 9], 'e3': [11, 3, 7, 9]}",True,True
14,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 6, 7], 'e2': [1, 2, 4, 5, 6, 7, 8]}",True,True
15,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 6, 7], 'e2': [1, 2, 4, 7, 8], 'e3': [1, 2, 3]}",True,True
16,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 6, 7], 'e2': [1, 2, 5, 6, 7], 'e3': [4, 5, 6]}",True,True
17,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 6, 7], 'e2': [1, 2, 7], 'e3': [2, 3, 7]}",True,True
18,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 6, 7], 'e2': [3, 4, 6, 7, 8], 'e3': [1, 2, 8]}",False,True
19,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 6, 7], 'e2': [3, 4, 6, 7, 8], 'e3': [5, 7, 8]}",True,True
20,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 6, 8], 'e2': [1, 3, 4, 5]}",True,True
21,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 6, 8], 'e2': [1, 7, 8], 'e3': [1, 4, 7]}",True,True
22,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 6, 8], 'e2': [2, 4]}",True,True
23,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 6], 'e2': [2, 4, 7, 8], 'e3': [1, 5, 6]}",True,True
24,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 6], 'e2': [2, 7, 8], 'e3': [5, 8]}",True,True
25,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 7, 8], 'e2': [1, 2, 3, 4, 5], 'e3': [2, 7, 8]}",True,True
26,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 7, 8], 'e2': [2, 3, 5, 6, 8], 'e3': [2, 3, 6]}",True,True
27,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 7, 8], 'e2': [2, 3, 5, 6, 8], 'e3': [4, 5, 7]}",True,True
28,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 7], 'e2': [1, 2, 6, 8], 'e3': [3, 5, 8]}",False,True
29,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 7], 'e2': [2, 4, 5, 7], 'e3': [1, 3]}",True,True
30,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 8], 'e2': [1, 2, 8], 'e3': [3, 4, 5]}",True,True
31,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 8], 'e2': [2, 5, 6, 7], 'e3': [2, 6, 7]}",True,True
32,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 8], 'e2': [3, 7, 8], 'e3': [1, 7, 8]}",True,True
33,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5], 'e2': [1, 4, 6], 'e3': [1, 3, 8]}",True,True
34,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 6, 7, 8], 'e2': [1, 2, 5, 7]}",True,True
35,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 6, 7, 8], 'e2': [2, 3, 5, 6, 8], 'e3': [2, 3, 6]}",True,True
36,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 6, 7, 8], 'e2': [2, 3, 6, 7, 8]}",True,True
37,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 6, 7, 8], 'e2': [3, 4, 8]}",True,True
38,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 6, 7], 'e2': [1, 2, 4, 7], 'e3': [2, 5, 7]}",True,True
39,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 6, 7], 'e2': [1, 3, 4], 'e3': [5, 8]}",True,True
40,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 6, 8], 'e2': [1, 2, 6], 'e3': [2, 7]}",True,True
41,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 6, 8], 'e2': [2, 3, 5, 6], 'e3': [2, 5]}",True,True
42,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 6], 'e2': [1, 4, 6], 'e3': [1, 7]}",True,True
43,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 7, 8], 'e2': [1, 5, 6], 'e3': [1, 5]}",True,True
44,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 7, 8], 'e2': [1, 7]}",True,True
45,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 7, 8], 'e2': [4, 6, 7], 'e3': [1, 3, 8]}",True,True
46,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 7, 8], 'e2': [4, 6, 8], 'e3': [4, 6]}",True,True
47,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 7], 'e2': [1, 3, 4], 'e3': [1, 2, 3]}",True,True
