,hypergraph,two_nest_set,three_nest_set
0,"{'e0': [1, 10, 11, 12, 2, 3, 4, 5, 6, 7], 'e1': [1, 10, 11, 12, 4, 7, 8, 9], 'e2': [10, 11, 12, 2, 4], 'e3': [11, 2, 5, 7]}","[[3, 5], [3, 6], [5, 6], [8, 9]]","[[3, 5], [3, 6], [5, 6], [8, 9]]"
1,"{'e0': [1, 10, 11, 12, 2, 3, 4, 5, 6, 7], 'e1': [11, 12, 3, 5, 6, 7, 8, 9], 'e2': [1, 12, 2, 4, 7], 'e3': [11, 12, 2, 3]}","[[1, 4], [1, 10], [4, 10], [8, 9]]","[[1, 4], [1, 10], [4, 10], [8, 9]]"
2,"{'e0': [1, 10, 11, 12, 2, 3, 4, 6, 7, 9], 'e1': [10, 11, 3, 4, 5, 6, 8, 9], 'e2': [1, 10, 12, 4, 9], 'e3': [10, 11, 4, 7]}","[[1, 2], [1, 12], [2, 7], [2, 12], [5, 8]]","[[1, 2], [1, 12], [2, 7], [2, 12], [5, 8]]"
3,"{'e0': [1, 10, 11, 12, 2, 3, 4, 6, 7, 9], 'e1': [11, 12, 2, 3, 4, 5, 6, 8], 'e2': [1, 12, 2, 4, 7], 'e3': [10, 11, 3, 6]}","[[1, 7], [1, 9], [5, 8], [7, 9], [9, 10]]","[[1, 7], [1, 9], [5, 8], [7, 9], [9, 10]]"
4,"{'e0': [1, 10, 11, 12, 3, 4, 5, 6, 7, 9], 'e1': [10, 12, 2, 4, 5, 6, 7, 8], 'e2': [10, 11, 4, 7, 9], 'e3': [11, 12, 6, 7]}","[[1, 3], [1, 9], [2, 8], [3, 9]]","[[1, 3], [1, 9], [2, 8], [3, 9]]"
5,"{'e0': [1, 10, 11, 12, 3, 4, 5, 6, 8, 9], 'e1': [10, 12, 3, 4, 6, 7, 8, 9], 'e2': [1, 12, 2, 4, 9], 'e3': [10, 3, 6, 9]}","[[1, 2], [2, 5], [2, 11], [3, 7], [5, 7], [5, 11], [6, 7], [7, 8], [7, 10], [7, 11]]","[[1, 2], [2, 5], [2, 11], [3, 7], [5, 7], [5, 11], [6, 7], [7, 8], [7, 10], [7, 11]]"
6,"{'e0': [1, 10, 11, 12, 3, 4, 6, 7, 8, 9], 'e1': [10, 11, 12, 2, 3, 4, 5, 9], 'e2': [1, 10, 6, 7, 8], 'e3': [1, 10, 12, 7]}","[[2, 5], [6, 8]]","[[2, 5], [6, 8]]"
7,"{'e0': [1, 10, 11, 12, 4, 5, 6, 7, 8, 9], 'e1': [11, 12, 2, 4, 6, 7, 8, 9], 'e2': [11, 2, 3, 7, 9], 'e3': [11, 3, 7, 9]}","[[1, 5], [1, 10], [2, 3], [5, 10]]","[[1, 5], [1, 10], [2, 3], [5, 10]]"
8,"{'e0': [1, 10, 12, 2, 3, 4, 5, 7, 8, 9], 'e1': [1, 10, 11, 2, 3, 4, 6, 7], 'e2': [1, 2, 3, 4, 6], 'e3': [10, 2, 6, 7]}","[[5, 8], [5, 9], [5, 12], [8, 9], [8, 12], [9, 12]]","[[5, 8], [5, 9], [5, 12], [8, 9], [8, 12], [9, 12]]"
9,"{'e0': [1, 10, 12, 2, 3, 4, 5, 7, 8, 9], 'e1': [1, 10, 2, 3, 5, 6, 7, 9], 'e2': [11, 2, 4, 8, 9], 'e3': [12, 3, 4, 8]}","[[1, 6], [5, 6], [6, 7], [6, 10]]","[[1, 6], [5, 6], [6, 7], [6, 10]]"
