,hypergraph,line_chordal,line_regular,line_complete,dual_graph,dual_alpha,dual_beta,dual_line_chordal,dual_line_regular,dual_line_complete
0,"{""e0"": [1, 10, 11, 12, 2, 3, 4, 5, 6, 7], ""e1"": [1, 10, 11, 12, 4, 7, 8, 9], ""e2"": [10, 11, 12, 2, 4], ""e3"": [11, 2, 5, 7]}",True,True,True,"{""1"": [""e0"", ""e1""], ""2"": [""e0"", ""e2"", ""e3""], ""3"": [""e0""], ""4"": [""e0"", ""e1"", ""e2""], ""5"": [""e0"", ""e3""], ""6"": [""e0""], ""7"": [""e0"", ""e1"", ""e3""], ""8"": [""e1""], ""9"": [""e1""], ""10"": [""e0"", ""e1"", ""e2""], ""11"": [""e0"", ""e1"", ""e3""], ""12"": [""e0"", ""e1"", ""e2""]}",True,False,True,False,False
1,"{""e0"": [1, 10, 11, 12, 2, 3, 4, 5, 6, 7], ""e1"": [11, 12, 3, 5, 6, 7, 8, 9], ""e2"": [1, 12, 2, 4, 7], ""e3"": [11, 12, 2, 3]}",True,True,True,"{""1"": [""e0"", ""e2""], ""2"": [""e0"", ""e2"", ""e3""], ""3"": [""e0"", ""e1"", ""e3""], ""4"": [""e0"", ""e2""], ""5"": [""e0"", ""e1""], ""6"": [""e0"", ""e1""], ""7"": [""e0"", ""e1"", ""e2""], ""8"": [""e1""], ""9"": [""e1""], ""10"": [], ""11"": [""e0"", ""e1"", ""e3""], ""12"": [""e0"", ""e1"", ""e2""]}",True,False,True,False,False
2,"{""e0"": [1, 10, 11, 12, 2, 3, 4, 6, 7, 9], ""e1"": [10, 11, 3, 4, 5, 6, 8, 9], ""e2"": [1, 10, 12, 4, 9], ""e3"": [10, 11, 4, 7]}",True,True,True,"{""1"": [""e0"", ""e2""], ""2"": [""e0""], ""3"": [""e0"", ""e1""], ""4"": [""e0"", ""e1"", ""e2"", ""e3""], ""5"": [""e1""], ""6"": [""e0"", ""e1""], ""7"": [""e0"", ""e3""], ""8"": [""e1""], ""9"": [""e0"", ""e1""], ""10"": [""e0"", ""e1"", ""e2"", ""e3""], ""11"": [""e0"", ""e1""], ""12"": [""e0"", ""e2""]}",True,True,True,False,False
3,"{""e0"": [1, 10, 11, 12, 2, 3, 4, 6, 7, 9], ""e1"": [11, 12, 2, 3, 4, 5, 6, 8], ""e2"": [1, 12, 2, 4, 7], ""e3"": [10, 11, 3, 6]}",True,False,False,"{""1"": [""e0"", ""e2""], ""2"": [""e0"", ""e1"", ""e2""], ""3"": [""e0"", ""e1"", ""e3""], ""4"": [""e0"", ""e1"", ""e2""], ""5"": [""e1""], ""6"": [""e0"", ""e1"", ""e3""], ""7"": [""e0"", ""e2""], ""8"": [""e1""], ""9"": [""e0""], ""10"": [""e0""], ""11"": [""e0"", ""e1"", ""e3""], ""12"": [""e0"", ""e1"", ""e2""]}",True,True,True,False,False
4,"{""e0"": [1, 10, 11, 12, 3, 4, 5, 6, 7, 9], ""e1"": [10, 12, 2, 4, 5, 6, 7, 8], ""e2"": [10, 11, 4, 7, 9], ""e3"": [11, 12, 6, 7]}",True,True,True,"{""1"": [""e0""], ""2"": [""e1""], ""3"": [""e0""], ""4"": [""e0"", ""e1"", ""e2""], ""5"": [""e0"", ""e1""], ""6"": [""e0"", ""e1"", ""e3""], ""7"": [""e0"", ""e2"", ""e3""], ""8"": [""e1""], ""9"": [], ""10"": [""e0"", ""e1"", ""e2""], ""11"": [""e0"", ""e2"", ""e3""], ""12"": [""e0"", ""e1"", ""e3""]}",True,False,True,False,False
5,"{""e0"": [1, 10, 11, 12, 3, 4, 5, 6, 8, 9], ""e1"": [10, 12, 3, 4, 6, 7, 8, 9], ""e2"": [1, 12, 2, 4, 9], ""e3"": [10, 3, 6, 9]}",True,True,True,"{""1"": [""e0"", ""e2""], ""2"": [""e2""], ""3"": [""e0"", ""e1"", ""e3""], ""4"": [""e0"", ""e1"", ""e2""], ""5"": [""e0""], ""6"": [""e0"", ""e1"", ""e3""], ""7"": [""e1""], ""8"": [""e1""], ""9"": [""e0"", ""e1"", ""e2""], ""10"": [""e0"", ""e1"", ""e3""], ""11"": [""e0""], ""12"": [""e0"", ""e1"", ""e2""]}",True,True,True,False,False
6,"{""e0"": [1, 10, 11, 12, 3, 4, 6, 7, 8, 9], ""e1"": [10, 11, 12, 2, 3, 4, 5, 9], ""e2"": [1, 10, 6, 7, 8], ""e3"": [1, 10, 12, 7]}",True,True,True,"{""1"": [""e0"", ""e2"", ""e3""], ""2"": [""e1""], ""3"": [""e0"", ""e1""], ""4"": [""e0"", ""e1""], ""5"": [""e1""], ""6"": [""e0"", ""e2""], ""7"": [""e0"", ""e2"", ""e3""], ""8"": [""e0"", ""e2""], ""9"": [""e0"", ""e1""], ""10"": [""e0"", ""e1"", ""e3""], ""11"": [""e0"", ""e1""], ""12"": [""e0"", ""e1"", ""e3""]}",True,True,True,False,False
7,"{""e0"": [1, 10, 11, 12, 4, 5, 6, 7, 8, 9], ""e1"": [11, 12, 2, 4, 6, 7, 8, 9], ""e2"": [11, 2, 3, 7, 9], ""e3"": [11, 3, 7, 9]}",True,True,True,"{""1"": [""e0""], ""2"": [""e1"", ""e2""], ""3"": [""e2"", ""e3""], ""4"": [""e0"", ""e1""], ""5"": [""e0""], ""6"": [""e0"", ""e1""], ""7"": [""e0"", ""e1"", ""e2"", ""e3""], ""8"": [""e0"", ""e1""], ""9"": [""e0"", ""e1"", ""e2"", ""e3""], ""10"": [""e0""], ""11"": [""e0"", ""e1"", ""e2"", ""e3""], ""12"": [""e0"", ""e1""]}",True,True,True,False,False
8,"{""e0"": [1, 10, 12, 2, 3, 4, 5, 7, 8, 9], ""e1"": [1, 10, 11, 2, 3, 4, 6, 7], ""e2"": [1, 2, 3, 4, 6], ""e3"": [10, 2, 6, 7]}",True,True,True,"{""1"": [""e0"", ""e1"", ""e2""], ""2"": [""e0"", ""e1"", ""e3""], ""3"": [""e0"", ""e1"", ""e2""], ""4"": [""e0"", ""e1"", ""e2""], ""5"": [""e0""], ""6"": [""e1"", ""e2"", ""e3""], ""7"": [""e0"", ""e1"", ""e3""], ""8"": [""e0""], ""9"": [""e0""], ""10"": [""e0"", ""e1"", ""e3""], ""11"": [], ""12"": [""e0""]}",True,False,True,False,False
9,"{""e0"": [1, 10, 12, 2, 3, 4, 5, 7, 8, 9], ""e1"": [1, 10, 2, 3, 5, 6, 7, 9], ""e2"": [11, 2, 4, 8, 9], ""e3"": [12, 3, 4, 8]}",True,True,True,"{""1"": [""e0"", ""e1""], ""2"": [""e0"", ""e1"", ""e2""], ""3"": [""e0"", ""e3""], ""4"": [""e0"", ""e2"", ""e3""], ""5"": [""e0"", ""e1""], ""6"": [""e1""], ""7"": [""e0"", ""e1""], ""8"": [""e0"", ""e2"", ""e3""], ""9"": [""e0"", ""e1"", ""e2""], ""10"": [""e0"", ""e1""], ""11"": [], ""12"": [""e0"", ""e3""]}",True,False,True,False,False
