,hypergraph,numVertices,numEdges,alpha,beta,lineGraphChordal,lineGraphRegular,lineGraphComplete,dual,dualAlpha,dualBeta,dualChordal,dualRegular,dualComplete
0,"{'e0': [1, 6, 2, 3, 5, 7], 'e1': [2, 1, 3, 4], 'e2': [3, 4, 8, 1, 2, 5], 'e3': [2, 8, 7, 3, 1, 6, 5], 'e4': [4, 5, 2, 7, 6, 3, 8, 1]}",8,5,True,True,True,True,True,"{1: ['e0', 'e1', 'e2', 'e3', 'e4'], 2: ['e0', 'e1', 'e2', 'e3', 'e4'], 3: ['e0', 'e1', 'e2', 'e3', 'e4'], 4: ['e1', 'e2', 'e4'], 5: ['e0', 'e2', 'e3', 'e4'], 6: ['e0', 'e3', 'e4'], 7: ['e0', 'e3', 'e4'], 8: ['e2', 'e3', 'e4']}",True,False,True,True,True
1,"{'e0': [5, 3, 6, 2], 'e1': [1, 4, 8, 3, 2], 'e2': [4, 6, 2, 1, 5, 8], 'e3': [8, 2, 5], 'e4': [2, 6]}",7,5,False,False,True,True,True,"{1: ['e1', 'e2'], 2: [], 3: ['e0', 'e1'], 4: ['e1', 'e2'], 5: ['e0', 'e2', 'e3'], 6: ['e0', 'e2', 'e4'], 8: ['e1', 'e2', 'e3']}",True,False,True,True,True
2,"{'e0': [7, 5, 6, 1, 8, 2, 4, 3], 'e1': [7, 4, 3, 2, 1], 'e2': [4, 2, 5, 7, 1], 'e3': [2, 8, 5, 6], 'e4': [8, 3, 4]}",8,5,True,False,True,True,True,"{1: ['e0', 'e1', 'e2'], 2: ['e0', 'e1', 'e2', 'e3'], 3: ['e0', 'e1', 'e4'], 4: ['e0', 'e1', 'e2', 'e4'], 5: ['e0', 'e2', 'e3'], 6: ['e0', 'e3'], 7: ['e0', 'e1', 'e2'], 8: ['e0', 'e3', 'e4']}",False,False,True,True,True
3,"{'e0': [6, 7, 1, 5, 4], 'e1': [5, 6, 4, 8, 7, 2], 'e2': [4, 7, 2, 6], 'e3': [2, 7], 'e4': [8, 6, 5, 7]}",7,5,True,False,True,True,True,"{1: ['e0'], 2: ['e1', 'e2', 'e3'], 4: ['e0', 'e1', 'e2'], 5: ['e0', 'e1', 'e4'], 6: ['e0', 'e1', 'e2', 'e4'], 7: [], 8: ['e1', 'e4']}",True,True,True,False,False
4,"{'e0': [8, 6], 'e1': [1, 2, 6, 7, 8], 'e2': [7, 5], 'e3': [4, 2, 1], 'e4': [4, 7, 6, 2, 3]}",8,5,False,False,True,False,False,"{1: ['e1', 'e3'], 2: ['e1', 'e4'], 3: ['e4'], 4: ['e3', 'e4'], 5: ['e2'], 6: ['e1', 'e4'], 7: ['e1', 'e4'], 8: ['e0', 'e1']}",True,False,True,False,False
5,"{'e0': [4, 6, 1, 7, 3], 'e1': [3, 7, 6, 4], 'e2': [1, 3, 2, 8, 5, 6, 4], 'e3': [1, 8, 6, 3, 7, 5], 'e4': [4, 1, 8, 5, 3, 2]}",8,5,False,False,True,True,True,"{1: ['e0', 'e2', 'e3', 'e4'], 2: ['e2', 'e4'], 3: [], 4: ['e0', 'e1', 'e2', 'e4'], 5: ['e2', 'e3', 'e4'], 6: ['e0', 'e1', 'e2', 'e3'], 7: ['e0', 'e1', 'e3'], 8: ['e2', 'e3', 'e4']}",True,False,True,False,False
6,"{'e0': [3, 6, 1, 5, 7, 8, 2], 'e1': [4, 6, 8, 2, 3, 7, 5], 'e2': [5, 1, 8, 2], 'e3': [4, 8, 7, 3], 'e4': [3, 1]}",8,5,True,False,True,True,True,"{1: ['e0', 'e2', 'e4'], 2: ['e0', 'e1', 'e2'], 3: ['e0', 'e1', 'e3', 'e4'], 4: ['e1', 'e3'], 5: ['e0', 'e1', 'e2'], 6: ['e0', 'e1'], 7: ['e0', 'e1', 'e3'], 8: ['e0', 'e1', 'e2', 'e3']}",False,False,True,False,False
7,"{'e0': [3, 8, 1], 'e1': [5, 1, 3], 'e2': [2, 7, 4, 8, 6, 1], 'e3': [8, 3], 'e4': [1, 5, 8, 2]}",8,5,False,False,True,True,True,"{1: ['e0', 'e1', 'e2', 'e4'], 2: ['e2', 'e4'], 3: ['e0', 'e1', 'e3'], 4: ['e2'], 5: ['e1', 'e4'], 6: ['e2'], 7: ['e2'], 8: ['e0', 'e2', 'e3', 'e4']}",False,False,True,False,False
8,"{'e0': [2, 7, 8, 3, 4, 6], 'e1': [7, 3, 2, 4], 'e2': [2, 6], 'e3': [3, 4, 7, 8, 5, 2, 6], 'e4': [1, 3, 7, 6, 2, 5, 8]}",8,5,True,False,True,True,True,"{1: ['e4'], 2: [], 3: ['e0', 'e1', 'e3', 'e4'], 4: ['e0', 'e1', 'e3'], 5: ['e3', 'e4'], 6: ['e0', 'e2', 'e3', 'e4'], 7: ['e0', 'e1', 'e3', 'e4'], 8: ['e0', 'e3', 'e4']}",True,False,True,False,False
9,"{'e0': [1, 6, 8], 'e1': [8, 5, 3, 2], 'e2': [7, 1, 4, 3, 2, 5], 'e3': [2, 3, 1, 5, 7], 'e4': [5, 3, 6]}",8,5,False,False,True,True,True,"{1: ['e0'], 2: ['e1', 'e2', 'e3'], 3: ['e1', 'e2', 'e3', 'e4'], 4: ['e2'], 5: ['e1', 'e2', 'e3', 'e4'], 6: ['e0'], 7: ['e2', 'e3'], 8: ['e0']}",True,False,True,False,False
